Aguadilla,BQN
Albany,ALB
Albuquerque,ABQ
Atlanta,ATL
Austin,AUS
Baltimore,BWI
Bogota,BOG
Boston,BOS
Bridgetown,BGI
Buffalo,BUF
Burbank,BUR
Burlington,BTV
Camaguey,CMW
Cancún,CUN
Cartagena,CTG
Charleston,CHS
Charlotte,CLT
"Charlotte Amalie, Harry S. Truman Airport",STT
Chicago,ORD
Christiansted,STX
Cleveland,CLE
Dallas-Fort Worth,DFW
Daytona Beach,DAB
Denver,DEN
Detroit,DTW
Fort Lauderdale,FLL
Fort Myers,RSW
Georgetown,GCM
Hamilton,BDA
Hartford,BDL
Havana,HAV
Holguin,HOG
Houston,HOU
Jacksonville,JAX
Kingston,KIN
La Romana,LRM
Las Vegas,LAS
Liberia,LIR
Lima,LIM
Long Beach,LGB
Los Angeles,LAX
Martha's Vineyard,MVY
Medellín,MDE
Mexico City,MEX
Montego Bay,MBJ
Nantucket,ACK
Nashville,BNA
Nassau,NAS
New Orleans,MSY
New York,JFK
New York,LGA
Newark,EWR
Newburgh,SWF
Oakland,OAK
Oranjestad,AUA
Orlando,MCO
Palm Springs,PSP
Philadelphia,PHL
Phoenix,PHX
Pittsburgh,PIT
Ponce,PSE
Port of Spain,POS
Port-au-Prince,PAP
Portland,PDX
Portland,PWM
Providence,PVD
Providenciales Island,PLS
Puerto Plata,POP
Punta Cana,PUJ
Quito,UIO
Raleigh/Durham,RDU
Reno,RNO
Richmond,RIC
Rochester,ROC
Sacramento,SMF
Saint George's,GND
Saint Martin,SXM
Salt Lake City,SLC
San Diego,SAN
San Francisco,SFO
San Jose,SJC
San Jose,SJO
San Juan,SJU
Santa Clara,SNU
Santiago,STI
Santo Domingo,SDQ
Sarasota/Bradenton,SRQ
Savannah,SAV
Seattle,SEA
St. George,ANU
Syracuse,SYR
Tampa,TPA
Vieux Fort,UVF
Washington,DCA
Washington,IAD
West Palm Beach,PBI
White Plains,HPN
Willemstad,CUR
Worcester,ORH
